State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2"
Alabama,318.0,229.0,196.0,1.0,32.0,0.0,29.0,40.0,20.0
Alaska,22.0,13.0,1.0,0.0,0.0,12.0,4.0,3.0,2.0
Arizona,328.0,197.0,164.0,10.0,10.0,13.0,61.0,53.0,17.0
Arkansas,171.0,107.0,54.0,5.0,5.0,43.0,21.0,38.0,5.0
California,1972.0,1360.0,1022.0,45.0,49.0,244.0,291.0,214.0,107.0
Colorado,167.0,94.0,55.0,6.0,6.0,27.0,23.0,30.0,20.0
Connecticut,107.0,70.0,51.0,0.0,2.0,17.0,17.0,14.0,6.0
Delaware,41.0,31.0,20.0,2.0,0.0,9.0,6.0,1.0,3.0
District of Columbia,144.0,113.0,80.0,1.0,1.0,31.0,17.0,9.0,5.0
Georgia,543.0,378.0,323.0,17.0,19.0,19.0,56.0,97.0,12.0
Hawaii,21.0,8.0,4.0,2.0,1.0,1.0,3.0,4.0,6.0
Idaho,22.0,5.0,3.0,0.0,0.0,2.0,3.0,9.0,5.0
Illinois,479.0,386.0,360.0,5.0,8.0,13.0,39.0,48.0,6.0
Indiana,293.0,209.0,136.0,8.0,14.0,51.0,34.0,40.0,10.0
Iowa,34.0,11.0,3.0,1.0,3.0,4.0,8.0,6.0,9.0
Kansas,118.0,85.0,38.0,9.0,0.0,38.0,14.0,11.0,8.0
Kentucky,170.0,112.0,90.0,5.0,6.0,11.0,22.0,27.0,9.0
Louisiana,486.0,402.0,330.0,20.0,11.0,41.0,32.0,37.0,15.0
Maine,26.0,11.0,4.0,0.0,0.0,7.0,6.0,6.0,3.0
Maryland,438.0,305.0,297.0,2.0,6.0,0.0,58.0,57.0,18.0
Massachusetts,169.0,93.0,47.0,2.0,1.0,43.0,40.0,29.0,7.0
Michigan,625.0,437.0,239.0,25.0,19.0,154.0,47.0,112.0,29.0
Minnesota,72.0,38.0,35.0,1.0,1.0,1.0,14.0,8.0,12.0
Mississippi,151.0,105.0,83.0,9.0,6.0,7.0,22.0,15.0,9.0
Missouri,381.0,276.0,170.0,8.0,11.0,87.0,40.0,50.0,15.0
Montana,28.0,19.0,9.0,2.0,5.0,3.0,4.0,2.0,3.0
Nebraska,40.0,23.0,22.0,1.0,0.0,0.0,8.0,4.0,5.0
Nevada,156.0,91.0,66.0,1.0,3.0,21.0,25.0,27.0,13.0
New Hampshire,10.0,4.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0
New Jersey,319.0,220.0,189.0,3.0,6.0,22.0,44.0,36.0,19.0
New Mexico,144.0,78.0,54.0,2.0,3.0,19.0,24.0,29.0,13.0
New York,779.0,481.0,117.0,8.0,13.0,343.0,166.0,109.0,23.0
North Carolina,480.0,335.0,243.0,17.0,20.0,55.0,49.0,64.0,32.0
North Dakota,9.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0
Ohio,502.0,311.0,193.0,2.0,9.0,107.0,52.0,95.0,44.0
Oklahoma,225.0,125.0,104.0,10.0,4.0,7.0,45.0,25.0,30.0
Oregon,83.0,41.0,9.0,2.0,10.0,20.0,21.0,19.0,2.0
Pennsylvania,658.0,468.0,373.0,13.0,11.0,71.0,66.0,100.0,24.0
Rhode Island,31.0,18.0,0.0,0.0,0.0,18.0,6.0,5.0,2.0
South Carolina,286.0,197.0,115.0,4.0,12.0,66.0,28.0,41.0,20.0
South Dakota,11.0,4.0,0.0,1.0,2.0,1.0,5.0,1.0,1.0
Tennessee,461.0,295.0,200.0,13.0,22.0,60.0,45.0,92.0,29.0
Texas,1325.0,862.0,661.0,55.0,58.0,88.0,197.0,153.0,113.0
Utah,37.0,25.0,15.0,0.0,5.0,5.0,8.0,2.0,2.0
Vermont,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0
Virginia,347.0,229.0,108.0,8.0,7.0,106.0,41.0,55.0,22.0
Washington,169.0,101.0,75.0,16.0,4.0,6.0,35.0,14.0,19.0
West Virginia,76.0,38.0,20.0,2.0,3.0,13.0,19.0,13.0,6.0
Wisconsin,144.0,95.0,65.0,3.0,9.0,18.0,22.0,13.0,14.0
Wyoming,11.0,8.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0
