State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2"
Alabama,349.0,247.0,226.0,0.0,21.0,0.0,35.0,51.0,16.0
Alaska,35.0,22.0,15.0,5.0,1.0,1.0,8.0,2.0,3.0
Arizona,462.0,343.0,269.0,33.0,14.0,27.0,53.0,46.0,20.0
Arkansas,201.0,134.0,82.0,15.0,10.0,27.0,22.0,34.0,11.0
California,2485.0,1822.0,1623.0,74.0,69.0,56.0,315.0,218.0,130.0
Colorado,156.0,85.0,38.0,0.0,8.0,39.0,35.0,16.0,20.0
Connecticut,100.0,65.0,57.0,0.0,2.0,6.0,18.0,12.0,5.0
Delaware,41.0,27.0,14.0,0.0,3.0,10.0,7.0,6.0,1.0
Georgia,548.0,403.0,351.0,13.0,19.0,20.0,64.0,67.0,14.0
Hawaii,21.0,7.0,5.0,0.0,0.0,2.0,3.0,6.0,5.0
Idaho,36.0,22.0,9.0,2.0,2.0,9.0,6.0,5.0,3.0
Illinois,487.0,392.0,380.0,4.0,6.0,2.0,46.0,35.0,14.0
Indiana,339.0,239.0,171.0,20.0,10.0,38.0,36.0,45.0,19.0
Iowa,54.0,23.0,8.0,1.0,5.0,9.0,13.0,11.0,7.0
Kansas,126.0,70.0,33.0,6.0,4.0,27.0,14.0,33.0,9.0
Kentucky,150.0,98.0,78.0,6.0,8.0,6.0,22.0,16.0,14.0
Louisiana,488.0,396.0,335.0,29.0,7.0,25.0,35.0,37.0,20.0
Maine,23.0,12.0,7.0,2.0,1.0,2.0,1.0,8.0,2.0
Maryland,546.0,403.0,372.0,5.0,17.0,9.0,72.0,46.0,25.0
Massachusetts,185.0,111.0,66.0,2.0,3.0,40.0,42.0,28.0,4.0
Michigan,711.0,498.0,208.0,29.0,25.0,236.0,50.0,134.0,29.0
Minnesota,117.0,75.0,67.0,1.0,7.0,0.0,20.0,9.0,13.0
Mississippi,173.0,121.0,93.0,5.0,7.0,16.0,18.0,24.0,10.0
Missouri,334.0,246.0,96.0,13.0,14.0,123.0,36.0,41.0,11.0
Montana,17.0,4.0,4.0,0.0,0.0,0.0,3.0,7.0,3.0
Nebraska,16.0,5.0,2.0,1.0,0.0,2.0,2.0,7.0,2.0
Nevada,224.0,133.0,88.0,4.0,9.0,32.0,34.0,45.0,12.0
New Hampshire,12.0,3.0,2.0,0.0,1.0,0.0,6.0,1.0,2.0
New Jersey,428.0,289.0,270.0,0.0,7.0,12.0,69.0,47.0,23.0
New Mexico,99.0,57.0,48.0,3.0,3.0,3.0,21.0,7.0,14.0
New York,921.0,400.0,308.0,14.0,8.0,70.0,141.0,351.0,29.0
North Carolina,530.0,338.0,227.0,23.0,28.0,60.0,59.0,75.0,58.0
North Dakota,8.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0
Ohio,487.0,334.0,233.0,3.0,8.0,90.0,40.0,84.0,29.0
Oklahoma,207.0,133.0,85.0,12.0,12.0,24.0,18.0,35.0,21.0
Oregon,85.0,44.0,16.0,4.0,2.0,22.0,22.0,12.0,7.0
Pennsylvania,719.0,554.0,474.0,14.0,11.0,55.0,51.0,87.0,27.0
Rhode Island,28.0,7.0,3.0,0.0,0.0,4.0,8.0,11.0,2.0
South Carolina,359.0,253.0,163.0,10.0,14.0,66.0,44.0,42.0,20.0
South Dakota,8.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0
Tennessee,409.0,271.0,211.0,11.0,12.0,37.0,43.0,71.0,24.0
Texas,1381.0,949.0,711.0,53.0,71.0,114.0,162.0,183.0,87.0
Utah,46.0,21.0,9.0,1.0,2.0,9.0,6.0,9.0,10.0
Vermont,12.0,7.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0
Virginia,398.0,264.0,142.0,6.0,13.0,103.0,49.0,70.0,15.0
Washington,186.0,107.0,90.0,3.0,12.0,2.0,31.0,28.0,20.0
West Virginia,71.0,40.0,24.0,4.0,1.0,11.0,9.0,18.0,4.0
Wisconsin,163.0,95.0,72.0,3.0,3.0,17.0,23.0,29.0,16.0
Wyoming,9.0,5.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0
